,id,url,title,parkCode,description,category,lastIndexedDate
0,2135F2AB-34F7-48F3-8115-427636CA6197,https://www.nps.gov/perl/planyourvisit/covid19-safety.htm,Masks no longer required at Pearl Harbor National Memorial,valr,Masks will no longer be requiring in any of our buildings or locations at Pearl Harbor National Memorial. This alert will be updated again as needed.,Information,2022-09-08 15:57:31.0
1,D08068E9-A6B1-4686-A511-64C9CE3A788F,,Davis Bayou Campground Closure,guis,The Davis Bayou Campground is closed for paving of campground pads until Sept. 30.,Park Closure,2022-09-08 15:52:15.0
2,0B8CA85C-C2C8-4A0A-BCBD-14D654500C7A,,Opal Beach Complex Restroom Closure,guis,Opal Beach Complex A restrooms are closed. All others are open. Visit our maps page to download a map of current restroom locations at https://www.nps.gov/guis/planyourvisit/maps.htm.,Park Closure,2022-09-08 15:49:44.0
3,3ADFC4DB-FC02-4E6B-8047-5EEBCFDE4220,,Visitor Center Closed,tule,"The visitor center is now closed. To request a site tour, call 530-667-8119 at least 2 weeks in advance.",Park Closure,2022-09-08 15:38:13.0
4,FC3D3A83-FEC2-42E0-8706-EFBA4C8D38D0,https://www.nps.gov/mava/planyourvisit/calendar.htm,"House Tours Changes for September 16, 2022",mava,"Friday, September 16, 2022 there will not be a 10:00 am or 11:00 am tour available. All other tour options are available. Check the Calendar for more information. We apologize for any inconvenience.",Information,2022-09-08 15:27:22.0
5,72844168-554A-4301-940A-DA8A83D87EAD,,Restrooms closed at Haleakalā Visitor Center,hale,"Restrooms are temporarily closed at the Haleakalā Visitor Center at 9,740 feet. If you are visiting the summit, use the restroom before you head up. Restrooms are available at the Headquarters Visitor Center, Halemauʻu Trailhead, and Kalahaku Overlook.",Information,2022-09-08 15:09:19.0
6,1B7669EA-2085-4B25-A6E1-6FC44072E231,,Going-to-the-Sun Road 2022 Season Dates,glac,"The Going-to-the-Sun Road is fully open to vehicle traffic until October 1, 2022. The G-T-S-R will close on the west side from Apgar to Logan Pass on October 1. The G-T-S-R will remain open from St. Mary to Logan Pass until October 16, weather permitting.",Information,2022-09-08 14:21:05.0
7,04B7ABDC-67E8-408B-BA5F-0BA155DDECB7,https://www.nps.gov/amis/planyourvisit/hours.htm#CP_JUMP_1925982,Most Boat Ramps Closed- Box Canyon Partially Reopened.,amis,"Most boat ramps remain closed to launching trailered boats. Currently, open boat ramps for launching trailered boats are Diablo East, Rough Canyon, Spur 454 (no dock). Box Canyon is partially open. For boat ramp status, please click ""more>""",Park Closure,2022-09-08 13:28:18.0
8,D2605EA6-4542-46D8-B1B0-405E817EE43C,https://www.nps.gov/pore/learn/management/firemanagement_currentfireinformation.htm,"High Fire Danger is in effect at Point Reyes National Seashore for Thursday, September 8.",pore,Under High Fire Danger conditions: All wood fires are prohibited. Previously issued beach fire permits are null & void. No additional fire permits will be issued. Self-contained gas stoves are allowed in campgrounds and picnic areas.,Information,2022-09-08 12:41:48.0
9,A23ED715-406A-451E-BC95-2E94B6EBAF6A,https://marine.weather.gov/showsigwx.php?warnzone=PZZ540&warncounty=marine,"Boaters: Small Craft Advisory is in effect from 3 pm on Thu., Sep. 8 until 9 am on Friday, Sep. 9.",pore,"The Nat. Weather Service has issued a Small Craft Advisory for coastal waters between Point Arena and Point Reyes, including Tomales Bay. Winds of 21–33 knots (24–38 mph) and/or steep waves are expected to produce hazardous wave conditions to small craft.",Caution,2022-09-08 12:15:14.0
10,32944453-FFA5-4173-A9C2-112CA2B7144A,,2022 Klondike Road Relay 2,klgo,"09/08/22, Broadway will be closed between 1st & 2nd Ave from 5:00 pm to 1:00 am and Alaska Street will be closed at 23rd Ave from 5:00 pm to 1:00 am! Please be vigilant of runners!",Information,2022-09-08 12:12:40.0
11,FC72BB89-F2BC-4445-A67B-EF3F27EAF08C,https://www.nps.gov/biso/learn/nature/blackbear.htm,Black Bears at Big South Fork,biso,"Black bears call Big South Fork NRRA home. Help keep them healthy and safe by storing all food, cooking items, feed, cosmetics and coolers properly stored when at campgrounds or in the backcountry.",Information,2022-09-08 11:26:50.0
12,91B3E31F-57C8-4DB8-A6E0-9CE3B6C24BD5,,"Western National Parks Association Store Closed on Tuesday, September 13th",waca,"Walnut Canyon's Western National Parks Association Store will be closed on Tuesday, September 13th for inventory. During this time the park store will not be accessible. Visitors can visit the WNPA online store, or the WNPA store at Wupatki.",Park Closure,2022-09-08 11:14:34.0
13,A2A55A98-4CDD-4E5B-9E14-78C53E876DBD,https://www.nps.gov/natr/planyourvisit/detour-from-bay-springs-ms-to-colbert-ferry-al.htm,"Detour Bay Springs, MS (mp 293) to Colbert Ferry, AL (mp 326)",natr,"This section of the Parkway is closed for repaving. (Colbert Ferry remains open) Please see the detour map page by clicking ""more"". The base layer is nearly complete, but the top layer, accesses, etc., are not. Partial completion, is expected in the Fall.",Park Closure,2022-09-08 10:00:03.0
14,9125A869-8A62-4399-B481-CD475F84FC00,https://www.nps.gov/grte/learn/news/planned-closures-begin-after-labor-day.htm,Construction Closures,grte,"After Labor Day until winter the Moose-Wilson Road from the Granite Canyon Entrance to the LSR Preserve will be closed, no access to Granite Canyon Trailhead. Jackson Lake Dam Launch is closed for the fall season, find alt river launch.",Park Closure,2022-09-08 09:50:43.0
15,E45FCD2B-5C39-4F97-B5F0-4F75F71D0D09,https://www.nps.gov/bibe/learn/news/storm-damage-to-lost-mine-trail-and-scenic-drive.htm,Lost Mine Trail CLOSED due to storm damage,bibe,"On Saturday, monsoon rains resulted in heavy damage to a series of switchbacks along the Lost Mine Trail. The trail is closed until trail crews can repair the damage and make it safe for hikers. No estimated date for reopening at this time.",Park Closure,2022-09-08 09:43:29.0
16,CF7E6485-7E0D-4189-B9C1-D3B5CD23512A,,COVID-19 Mask Requirement: REQUIRED,cuis,"Consistent with CDC guidance, in areas of substantial or high transmission, visitors to Cumberland Island National Seashore, regardless of vaccination status, are required to wear a mask inside all park buildings. CURRENT STATUS: REQUIRED",Caution,2022-09-08 08:00:06.0
17,E098A83F-3800-466A-BFD5-76012E4CE41B,https://www.nps.gov/grca/planyourvisit/trail-closures.htm,"ALERT: Inner Canyon Water Availability is LIMITED — Thursday, September 8, 2022",grca,"Water OFF Bright Angel Trail: 1.5 and 3 Mile Resthouses. Water OFF N. Kaibab Trail at Cottonwood, Manzanita. —Phantom Ranch water outside main lodge only. When traveling below the rim, a method to filter or treat water must ALWAYS be part of your gear.",Danger,2022-09-07 22:47:59.0
18,D343DB17-FB31-4953-AC43-957033416C4B,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,"What's Closed, and What's Open This Week? - Thursday, September 8, 2022",grca,"[CDC LOW Community Level] Face Masks Are Not Required this week in either indoor or outdoor locations, and on park shuttle buses, while CDC Community Level remains either low or medium. What's closed and what's open this week?",Park Closure,2022-09-07 22:45:35.0
19,6BD9F4C7-C275-4FAB-93E6-EBB8ADD76CF2,https://www.nps.gov/grca/planyourvisit/hike-smart.htm,Excessive Heat Warning — Inner Canyon High Temp of 110°F (43 °C) 9/8/2022,grca,"Hike into the canyon before 10 am and/or after 4 pm. Avoid midday heat. Bring: Water & Electrolytes - Food & Salty Snacks - Sunscreen - Sunglasses - Loose, Protective Clothing - and Wide-brimmed Hat. Bring a way to filter or purify water from creeks.",Danger,2022-09-07 22:44:56.0
20,9D7888EF-2E22-48B6-BB1B-7C1AD954234E,,Chilkoot Trail Reopened After Completion of Pat Moore Suspension Bridge Repairs,klgo,Klondike Gold Rush National Historical Park has repaired the Pat Moore Suspension Bridge. The bridge and trail are now open north of Pleasant Camp,Information,2022-09-07 21:27:30.0
21,7E550163-A88B-4F6B-9BB1-558DC2E5BB04,,Boil Water Notice at Furnace Creek Campground,deva,"If you are planning to camp, please be advised there is a boil water notice in effect for Furnace Creek Campground.",Caution,2022-09-07 19:23:13.0
22,9405A70F-A1AF-43A4-8FCD-570E317F24E5,https://www.nps.gov/thro/learn/management/upload/Fire-Restrictions-Order-20-002.pdf,Fire Restrictions Are In Effect,thro,"A fire ban is in effect for both units of Theodore Roosevelt National Park due to dry conditions. Campfires are not allowed at this time. Gas stoves allowed in campgrounds, picnic areas, and backcountry areas where no combustible materials are present.",Danger,2022-09-07 19:12:34.0
23,78B726CA-21E2-42E2-845F-8169B18F9C8C,https://inciweb.nwcg.gov/incident/8337/,Area Closures for the Quartz and North Camas Fires,glac,"The areas, campgrounds, and trails within Quartz Lake drainage from the Continental Divide to the Inside North Fork Road are closed for the Quartz Fire. The Camas Creek trail is closed above Arrow Lake for the North Camas Fire.",Park Closure,2022-09-07 17:58:19.0
24,44C146CB-B240-4974-9E69-7B42447E3B11,,Early Closures of Mississippi River Visitor Center,miss,"On Friday, September 9th and Saturday, September 10th, the Mississippi River Visitor Center (inside the Science Museum of Minnesota) in St. Paul will close early at 5 p.m. instead of 8 p.m.",Information,2022-09-07 17:49:37.0
25,B2003ACA-9045-4F35-B609-FB3348104D02,,East Fork Quinault Trail Closed to Stock,olym,"Due to repairs on the Pony Bridge, it will be impassable to stock. The trail will be closed to stock from September 14, 2022 until repairs are completed in the spring. Hikers will still be able to pass until the final stage of repairs.",Caution,2022-09-07 17:37:39.0
26,16E110A5-1B05-4428-A860-D79D00D0B748,https://www.biscaynenationalparkinstitute.org/,Phone Lines Down,bisc,"We are unable to receive calls at this time. Please email us at bisc_information@nps.gov, visit our social media sites, or search the website for more information. You can still contact Biscayne National Park Institute for boat tours at (786) 465-4058.",Information,2022-09-07 17:33:02.0
27,C8578844-281E-4C9A-B6CA-C640C79814E1,,Masks Required,bisc,"Due to the high levels of transmission in Miami Dade County, masks are currently required in all indoor spaces of Biscayne National Park.",Information,2022-09-07 17:30:21.0
28,D2F6C023-165E-4CFE-A8B2-C3566BC90037,,Boater Awareness,bisc,Please use caution in park waters due to navigational markers that may be missing or moved due to unforeseen circumstances.,Caution,2022-09-07 17:29:16.0
29,48802611-4FF7-454E-BB81-2EAD6D18F0DC,https://www.nps.gov/goga/learn/management/fire_info.htm,"Spare the Air Alert in Effect Through Thursday, September 8",prsf,"No recreational fires are permitted at park (including campfires, beach fires, and outdoor grills) during Spare the Air days. See Fire Information webpage for details.",Information,2022-09-07 16:52:16.0
30,C7EC203C-4857-4128-9AD5-1586E3316D6A,https://www.nps.gov/goga/learn/management/fire_info.htm,"Spare the Air Alert in Effect Through Thursday, September 8",fopo,"No recreational fires are permitted at park (including campfires, beach fires, and outdoor grills) during Spare the Air days. See Fire Information webpage for details.",Information,2022-09-07 16:50:57.0
31,CF0A46B1-D237-4123-A718-F61271D05BB5,https://www.nps.gov/goga/learn/management/fire_info.htm,"Spare the Air Alert in Effect Through Thursday, September 8",muwo,"No recreational fires are permitted at park (including campfires, beach fires, and outdoor grills) during Spare the Air days. See Fire Information webpage for details.",Information,2022-09-07 16:49:08.0
32,E3AFB6B6-40ED-4588-90C7-0497C6A6381F,https://www.nps.gov/goga/learn/management/fire_info.htm,"Spare the Air Alert in Effect Through Thursday, September 8",goga,"No recreational fires are permitted at park (including campfires, beach fires, and outdoor grills) during Spare the Air days. See Fire Information webpage for details.",Information,2022-09-07 16:46:34.0
33,2B8A2825-85FF-44C1-9B9E-1CEAD271FED6,https://www.nps.gov/noca/planyourvisit/trail-conditions.htm,"Big Beaver, Little Beaver, and Chilliwack Area Trail and Camp Closures",noca,For trail and camp closures due to fire activity in the Chilliwack Complex visit the Trail Conditions page.,Park Closure,2022-09-07 16:09:51.0
34,311A3AE5-1AFC-431F-A46E-D5923905098C,,Park Store Closed for Inventory September 8th,gosp,"The Western National Parks Association Bookstore, located at the Golden Spike Visitor Center, will be closed tomorrow for inventory. We apologize for this inconvenience. All other features in the visitor center will be available to the public.",Park Closure,2022-09-07 15:59:37.0
35,BEAEB7F0-368E-426C-9CA2-CD14F992B60E,,September 24th: No Short Train Rides,stea,"Due to crew availability, there will be NO short train rides on Saturday, September 24th, only the excursion to Carbondale. The Scranton Limited Yard Shuttle will be available on Friday, September 23rd and Sunday, September 25th.",Information,2022-09-07 15:34:25.0
36,B7E0A0F4-3227-4568-ADEC-E1ACD4A03559,,Some Primitive Roads CLOSED,bibe,"Prolonged rainfall has caused many unpaved roads to become impassable. Current closures include: River Rd, Old Maverick Rd, Glenn Springs Rd (past Pine Cyn), Juniper Canyon Rd, and Hot Springs Rd.",Park Closure,2022-09-07 15:28:20.0
37,212B28BF-33CE-49C9-8585-4242FEBB79C1,,Window Trailhead CLOSED at campgrounds,bibe,"The trailheads for the Window Trail in the Basin Campground and Basin Group Campground are CLOSED until further notice. The Window Trail remains OPEN, and accessible from the main trailhead in the Chisos Basin.",Information,2022-09-07 14:58:05.0
38,A545C75C-A72D-494B-9FAE-CE446ABEBDF3,https://www.nps.gov/bibe/learn/news/chisos-basin-campground-bear-closure.htm,Chisos Basin Campground Temporarily CLOSED until 9-12-22,bibe,"The Chisos Basin Campground and Chisos Basin Group Campground are closed to public use due to significantly increased bear activity in the campground area. Campground will reopen on Monday, September 12. All trails in the Chisos remain open",Park Closure,2022-09-07 14:55:43.0
39,0990D1DC-2916-4328-84D7-8BF3E80ED657,,Scheduled closure of Shafer Trail Road weekdays Oct 24 through Nov 10,cany,The unpaved Shafer Trail Road will close for routine maintenance on weekdays October 24 through November 10th. The road may reopen for weekend use Oct 29-30 and Nov 5-6. This project will repair tread surfaces and shoulders damaged by recent rains.,Park Closure,2022-09-07 14:44:00.0
40,DA717415-2FB7-4583-ADA3-F55DD7A824B1,,Altered Schedule During Eugene O'Neill Festival,euon,"From September 10th through the 25th, park tour schedules will be limited due to the Eugene O'Neill Festival. There will be NO tours on Saturdays. Open Saturdays will resume on 10/1/22.",Park Closure,2022-09-07 14:40:09.0
41,4423A2C4-97ED-42A3-A214-43F049939DCA,,Whittington Cold Spring Temporarily Out of Service,hosp,"From Sept. 7th through Friday, Sept. 9th, the cold spring water jug fountain located on Whittington Ave. will be temporarily out of service for maintenance upgrades. The Happy Hollow cold spring water jug fountain is still open.",Information,2022-09-07 13:52:44.0
42,35008C9B-4D8D-4CE9-91AD-2C8AEF8F6FDE,,Partial Trail Closure For Work Crews,tuzi,Work crews will be backfilling several rooms with dirt using a tractor in order to help with erosion and preserving the walls. This will occur on the east side of the monument. That portion of the trail will be closed while work is being complete.,Caution,2022-09-07 13:09:17.0
43,55FAD792-6C27-4A7E-AC22-E0F71B2BF7B9,https://www.nps.gov/olym/learn/news/quillayute-river-restoration-reach-3-project-underway.htm,Construction Near Mora Campground,olym,"Due to a restoration project on the Quillayute River, visitors to the Mora Campground can expect to hear significant construction noise 7 days a week through October 2022. Work hours are 8 am-6 pm (north side of the river) and 8 am-sunset (south side).",Information,2022-09-07 12:54:52.0
44,663CB79F-0C19-48AB-973F-DAF2E704B785,,Museum Exhibits Closed,mana,The museum exhibit gallery will be closed on a rolling basis for cleaning and repairs. We apologize for any inconveniences.,Park Closure,2022-09-07 12:28:40.0
