,Park Code,Year,Park Unit,Recreation Visits,Overnight Stays,All Visitors Spend,Non-Local Visitors Spend,Jobs,Labor Income,Value Added,Output
1,ABLI,2010,Abraham Lincoln Birthplace NHP,"177,122",,"$6,167,000.00","$5,740,000.00",97,"$2,720,000.00","$4,436,000.00",
2,ACAD,2010,Acadia NP,"2,504,208","159,631","$186,282,000.00","$183,491,000.00","3,147","$79,636,000.00","$130,084,000.00",
3,ADAM,2010,Adams NHP,"73,339",,"$4,742,000.00","$4,414,000.00",66,"$2,581,000.00","$4,199,000.00",
4,AGFO,2010,Agate Fossil Beds NM,"12,509",,"$760,000.00","$754,000.00",13,"$276,000.00","$445,000.00",
5,ALFL,2010,Alibates Flint Quarries NM,"4,350",,"$216,000.00","$201,000.00",3,"$68,000.00","$105,000.00",
6,ALPO,2010,Allegheny Portage Railroad NHS,"107,363",,"$5,340,000.00","$4,971,000.00",82,"$2,033,000.00","$3,280,000.00",
7,AMIS,2010,Amistad NRA,"1,574,322","27,781","$45,348,000.00","$39,475,000.00",615,"$12,711,000.00","$20,656,000.00",
8,ANDE,2010,Andersonville NHS,"121,535",,"$4,232,000.00","$3,939,000.00",68,"$1,600,000.00","$2,609,000.00",
9,ANJO,2010,Andrew Johnson NHS,"60,323",,"$3,001,000.00","$2,793,000.00",45,"$1,249,000.00","$2,044,000.00",
10,ANTI,2010,Antietam NB,"393,957",,"$19,347,000.00","$17,429,000.00",250,"$9,493,000.00","$15,663,000.00",
11,APIS,2010,Apostle Islands NL,"156,945","24,358","$17,281,000.00","$16,920,000.00",287,"$6,359,000.00","$10,008,000.00",
12,APCO,2010,Appomattox Court House NHP,"216,220",,"$10,755,000.00","$10,010,000.00",158,"$3,925,000.00","$6,469,000.00",
13,ARCH,2010,Arches NP,"1,014,405","47,112","$105,132,000.00","$105,132,000.00","1,659","$37,449,000.00","$60,742,000.00",
14,ARPO,2010,Arkansas Post NMEM,"34,712",,"$1,209,000.00","$1,125,000.00",20,"$369,000.00","$607,000.00",
15,ARHO,2010,Arlington House The R.E. Lee MEM,"627,576",,"$40,581,000.00","$37,771,000.00",450,"$18,670,000.00","$30,129,000.00",
16,ASIS,2010,Assateague Island NS,"2,106,090","82,461","$142,650,000.00","$135,543,000.00","2,041","$59,120,000.00","$97,895,000.00",
17,AZRU,2010,Aztec Ruins NM,"37,437",,"$1,172,000.00","$1,135,000.00",16,"$435,000.00","$716,000.00",
18,BADL,2010,Badlands NP,"977,778","36,506","$23,177,000.00","$23,177,000.00",375,"$9,189,000.00","$14,990,000.00",
19,BAND,2010,Bandelier NM,"234,896","7,263","$10,507,000.00","$10,152,000.00",121,"$2,789,000.00","$4,434,000.00",
20,BEOL,2010,Bent's Old Fort NHS,"29,120",,"$1,014,000.00","$944,000.00",14,"$306,000.00","$497,000.00",
21,BELA,2010,Bering Land Bridge NPRES,"2,642","1,123","$833,000.00","$833,000.00",9,"$322,000.00","$554,000.00",
22,BIBE,2010,Big Bend NP,"372,330","175,574","$16,121,000.00","$15,423,000.00",231,"$5,336,000.00","$8,969,000.00",
23,BICY,2010,Big Cypress NPRES,"665,523","16,418","$78,758,000.00","$77,146,000.00","1,149","$41,721,000.00","$67,505,000.00",
24,BIHO,2010,Big Hole NB,"44,771",,"$1,559,000.00","$1,451,000.00",25,"$541,000.00","$895,000.00",
25,BISO,2010,Big South Fork NRRA,"656,374","65,160","$26,575,000.00","$23,218,000.00",331,"$7,797,000.00","$12,567,000.00",
26,BITH,2010,Big Thicket NPRES,"140,489","1,932","$9,521,000.00","$9,040,000.00",132,"$4,466,000.00","$7,682,000.00",
27,BICA,2010,Bighorn Canyon NRA,"258,637","20,577","$7,567,000.00","$6,630,000.00",106,"$2,723,000.00","$4,518,000.00",
28,BISC,2010,Biscayne NP,"467,612","12,702","$30,721,000.00","$30,358,000.00",407,"$14,543,000.00","$23,786,000.00",
29,BLCA,2010,Black Canyon of the Gunnison NP,"176,344","16,400","$8,334,000.00","$7,929,000.00",112,"$2,781,000.00","$4,610,000.00",
30,BLRI,2010,Blue Ridge PKWY,"14,517,118","150,520","$299,787,000.00","$274,134,000.00","4,008","$87,995,000.00","$142,233,000.00",
31,BLUE,2010,Bluestone NSR,"37,790",,"$1,610,000.00","$1,407,000.00",18,"$359,000.00","$562,000.00",
32,BOWA,2010,Booker T. Washington NM,"21,665",,"$1,078,000.00","$1,003,000.00",17,"$422,000.00","$691,000.00",
33,BOAF,2010,Boston African American NHS,"333,463",,"$21,563,000.00","$20,070,000.00",259,"$10,889,000.00","$17,560,000.00",
34,BOST,2010,Boston NHP,"2,060,497",,"$72,023,000.00","$69,624,000.00",904,"$38,412,000.00","$62,525,000.00",
35,BRVB,2010,Brown v. Board of Education NHS,"17,808",,"$886,000.00","$824,000.00",14,"$409,000.00","$698,000.00",
36,BRCA,2010,Bryce Canyon NP,"1,285,492","146,965","$107,904,000.00","$106,864,000.00","1,667","$34,869,000.00","$57,707,000.00",
37,BUIS,2010,Buck Island Reef NM,"27,403","3,920","$1,846,000.00","$1,758,000.00",27,"$591,000.00","$965,000.00",
38,BUFF,2010,Buffalo NR,"1,545,599","114,898","$47,169,000.00","$41,554,000.00",594,"$14,794,000.00","$24,310,000.00",
39,CABR,2010,Cabrillo NM,"763,140",,"$49,347,000.00","$45,930,000.00",613,"$21,142,000.00","$34,738,000.00",
40,CARI,2010,Cane River Creole NHP,"25,115",,"$1,249,000.00","$1,163,000.00",19,"$435,000.00","$701,000.00",
41,CACH,2010,Canyon de Chelly NM,"827,247","50,502","$40,641,000.00","$37,879,000.00",537,"$12,832,000.00","$21,022,000.00",
