,id,url,title,parkCode,abstract,image,relatedParks,relatedOrganizations,latitude,longitude,geometryPoiId,releaseDate,credit,lastIndexedDate
0,BAD90C9C-9F94-43E1-904C-45DFED9F0A2F,https://www.nps.gov/voya/learn/news/-paddle-picnic-play-at-voyageurs-national-park-on-public-lands-day-september-24-2022.htm,"‘Paddle, Picnic, Play’ at Voyageurs National Park on Public Lands Day, September 24, 2022",voya,"Join us for a day of free, family-friendly programming outside and on the water at the Rainy Lake Visitor Center in Voyageurs National Park!","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'MN', 'parkCode': 'voya', 'designation': 'National Park', 'fullName': 'Voyageurs National Park', 'url': 'https://www.nps.gov/voya/index.htm', 'name': 'Voyageurs'}]",[],,,,2022-09-08 14:39:00.0,,2022-09-08 15:43:57.0
1,5464B646-4045-4000-80B3-FE9A93917F13,https://www.nps.gov/cuis/learn/news/cumberland-island-national-seashore-mainland-museum-temporarily-closed-for-curatorial-renovations.htm,Cumberland Island National Seashore Mainland Museum temporarily closed for curatorial renovations,cuis,"The Cumberland Island Mainland Museum will be closed due to renovation starting September 12, 2022.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'GA', 'parkCode': 'cuis', 'designation': 'National Seashore', 'fullName': 'Cumberland Island National Seashore', 'url': 'https://www.nps.gov/cuis/index.htm', 'name': 'Cumberland Island'}]",[],,,,2022-09-08 12:40:00.0,,2022-09-08 14:34:39.0
2,EDEB5321-FE82-41F1-A780-EC8D3BF9FD8D,https://www.nps.gov/hatu/learn/news/harriet-tubman-underground-railroad-national-historical-park-to-host-their-first-spirituals-and-gospel-event-september-24.htm,Harriet Tubman Underground Railroad National Historical Park to host a Spirituals and Gospel event September 24,hatu,"On Sept. 24, the Harriet Tubman Underground Railroad National Historical Park will present the program “From Spirituals to Blues and Gospel: The History of a Multi-Century Musical Evolution.” The free musical event will be held at Greater Refuge Temple Church of God, 800 Robbins Street in Cambridge, Md., 21613, from 2:00 p.m. to 5:00 p.m.","{'url': 'https://www.nps.gov/hatu/learn/news/images/Untitled-3_2.jpg', 'credit': 'NPS Photo', 'altText': 'Spirituals and Gospel Event', 'title': 'Spirituals and Gospel Event', 'description': '', 'caption': 'From Spirituals to Blues and Gospel: The History of a Multi-Century Musical Evolution'}","[{'states': 'MD', 'parkCode': 'hatu', 'designation': 'National Historical Park', 'fullName': 'Harriet Tubman Underground Railroad National Historical Park', 'url': 'https://www.nps.gov/hatu/index.htm', 'name': 'Harriet Tubman Underground Railroad'}]",[],,,,2022-09-08 12:33:00.0,,2022-09-08 12:44:16.0
3,A04D6AFA-66B9-4436-9933-B965D7C7BECF,https://www.nps.gov/noca/learn/news/increased-fire-activity-on-the-chilliwack-complex.htm,Increased Fire Activity on the Chilliwack Complex,noca,"There is increased fire activity on the Chilliwack Complex due to Wednesday’s weather event with increased winds and low humidity throughout the area. Two of the four lightning-caused fires (Copper Lake and Brush Creek Fire) experienced growth and will likely merge into one fire in the Copper Loop and Whatcom Pass areas of North Cascades National Park Service Complex. An additional fire, Little Beaver Creek Fire, was detected and is estimated at one quarter acre. The Chilliwack Complex is estimated 4,538 acres.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'WA', 'parkCode': 'noca', 'designation': 'National Park', 'fullName': 'North Cascades National Park', 'url': 'https://www.nps.gov/noca/index.htm', 'name': 'North Cascades'}]",[],,,,2022-09-08 12:33:00.0,,2022-09-08 15:40:45.0
4,89B9F858-112C-42D4-8C85-FBB6743BABAD,https://www.nps.gov/poch/learn/news/national-park-service-hosts-virtual-author-talk.htm,National Park Service Hosts Virtual Author Talk,poch,"Concord, Calif. – The National Park Service, in collaboration with Author Steve Sheinkin, invites you to join a Virtual Author Talk on September 27, 2022, at 6 p.m. The program will consist of a virtual presentation about the events at Port Chicago followed by a Q & A session with Steve Sheinkin and NPS Park Rangers.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'CA', 'parkCode': 'poch', 'designation': 'National Memorial', 'fullName': 'Port Chicago Naval Magazine National Memorial', 'url': 'https://www.nps.gov/poch/index.htm', 'name': 'Port Chicago Naval Magazine'}]",[],,,,2022-09-08 11:44:00.0,,2022-09-08 14:55:29.0
5,D92086AB-4F42-4EA9-8D1E-4A05148994A5,https://www.nps.gov/chch/learn/news/cyclistjailedinbattlefield2022.htm,Local Cyclist Jailed After Committing Battery in Chickamauga Battlefield,chch,"On July 12, 2022, National Park Service law enforcement rangers responded to a physical altercation report along Glenn-Kelly Road. The incident involved a local cyclist who rode his bicycle around posted and signed barricades into a major road construction zone.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'GA,TN', 'parkCode': 'chch', 'designation': 'National Military Park', 'fullName': 'Chickamauga & Chattanooga National Military Park', 'url': 'https://www.nps.gov/chch/index.htm', 'name': 'Chickamauga & Chattanooga'}]",[],,,,2022-09-08 11:04:00.0,,2022-09-08 11:06:46.0
6,F5F76C32-94F6-461C-9AD6-30DDCB963018,https://www.nps.gov/ozar/learn/news/fall-hiking-events-begin-september-17-at-ozark-national-scenic-riverways.htm,Fall hiking events begin September 17 at Ozark National Scenic Riverways,ozar,"VAN BUREN, Mo. - Join us at Ozark National Scenic Riverways for a variety of hiking opportunities this fall! All activities and events are free of charge and pre-registration is not required.","{'url': 'https://www.nps.gov/ozar/learn/news/images/270424553_283801553776958_4708540318838378620_n.jpg', 'credit': 'NPS Photo', 'altText': 'A group of hikers with a park ranger in the fall woods', 'title': '270424553_2838015ss53776958_4708540318838378620_n', 'description': '', 'caption': 'Join the adventure during the fall hiking series at Ozark National Scenic Riverways.'}","[{'states': 'MO', 'parkCode': 'ozar', 'designation': 'National Scenic Riverways', 'fullName': 'Ozark National Scenic Riverways', 'url': 'https://www.nps.gov/ozar/index.htm', 'name': 'Ozark'}]",[],,,,2022-09-08 10:41:00.0,,2022-09-08 11:48:12.0
7,06E2D82C-2F2C-49C5-97B0-36414D3271B5,https://www.nps.gov/yose/learn/news/yosemite-fire-update-for-september-8-2022.htm,"Yosemite Fire Update for September 8, 2022",yose,Updated information on the five fires currently burning within Yosemite National Park.,"{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'CA', 'parkCode': 'yose', 'designation': 'National Park', 'fullName': 'Yosemite National Park', 'url': 'https://www.nps.gov/yose/index.htm', 'name': 'Yosemite'}]",[],,,,2022-09-08 10:26:00.0,,2022-09-08 14:51:13.0
8,E3150818-571C-461A-838A-4EB35FA74C7D,https://www.nps.gov/biso/learn/news/park-staff-conduct-major-renovations-to-yahoo-falls-picnic-area.htm,Park Staff Conduct Major Renovations to Yahoo Falls Picnic Area,biso,"Park staff have completed the repair and rehabilitation of Yahoo Falls Picnic Area. Fifteen picnic sites received fresh gravel pads, new picnic tables and cooking grills. Trails leading to each site were also resurfaced. Parking areas at each picnic site were repaired and the large picnic pavilion was repaired and painted. The picnic table fire rings, grills, seating, and picnic tables were all replaced.","{'url': 'https://www.nps.gov/biso/learn/news/images/DSC_0032_3.JPG', 'credit': 'NPS', 'altText': 'DSC_0032', 'title': 'DSC_0032', 'description': '', 'caption': 'Yahoo Falls Picnic Pavilion'}","[{'states': 'KY,TN', 'parkCode': 'biso', 'designation': 'National River & Recreation Area', 'fullName': 'Big South Fork National River & Recreation Area', 'url': 'https://www.nps.gov/biso/index.htm', 'name': 'Big South Fork'}]",[],,,,2022-09-08 09:30:00.0,,2022-09-08 09:37:27.0
9,052191CE-6FBE-485F-B8F1-DF33247E27C8,https://www.nps.gov/maca/learn/news/mammoth-cave-just-got-a-little-more-mammoth.htm,Mammoth Cave just got a little more “Mammoth”,maca,Mammoth Cave is officially six miles longer. The new additions bring the total length of the cave to 426 miles. The announcement comes during the park’s 50th Anniversary celebration of the Flint Ridge-Mammoth Cave connection which earned Mammoth Cave the title of longest cave in the world.,"{'url': 'https://www.nps.gov/maca/learn/news/images/Maelstrom-Winkler-climbing-RAO.jpg', 'credit': 'Rick Olson', 'altText': 'A person holds herself up on a long rope in a rocky, jagged cave with water streaming next to her.', 'title': 'A member of the Cave Research Foundation rappels into a pit inside Mammoth Cave.', 'description': '', 'caption': 'A member of the Cave Research Foundation rappels into a pit inside Mammoth Cave.'}","[{'states': 'KY', 'parkCode': 'maca', 'designation': 'National Park', 'fullName': 'Mammoth Cave National Park', 'url': 'https://www.nps.gov/maca/index.htm', 'name': 'Mammoth Cave'}]",[],,,,2022-09-08 08:30:00.0,,2022-09-08 15:10:45.0
10,266CC879-3B5A-4798-A4D4-A6BCC3A973B8,https://www.nps.gov/hosp/learn/news/happy-hollow-to-undergo-maintenance.htm,Cold Water Jug Fountain at Hot Springs National Park to Temporarily Shut Down for Maintenance,hosp,"Beginning Monday, September 12 and continuing through Wednesday, September 14, the cold spring water jug fountain located on Fountain Street will be temporarily out of service for maintenance upgrades.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'AR', 'parkCode': 'hosp', 'designation': 'National Park', 'fullName': 'Hot Springs National Park', 'url': 'https://www.nps.gov/hosp/index.htm', 'name': 'Hot Springs'}]",[],,,,2022-09-08 08:24:00.0,,2022-09-08 09:25:56.0
11,69E21534-91A9-442F-B365-FF58DF9C84EA,https://www.nps.gov/cebe/learn/news/cebe-fac-meeting-2022-09.htm,Park Federal Advisory Commission Meets on September 15,cebe,"The next meeting of the Cedar Creek and Belle Grove National Historical Park Advisory Commission will be on Thursday, September 15, 2022, from 9 to 11 a.m. The committee will meet at Town Hall, 174 East King Street in Strasburg, Virginia.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'VA', 'parkCode': 'cebe', 'designation': 'National Historical Park', 'fullName': 'Cedar Creek & Belle Grove National Historical Park', 'url': 'https://www.nps.gov/cebe/index.htm', 'name': 'Cedar Creek & Belle Grove'}]",[],,,105efa8d-3d30-457d-a01c-5787a9025695,2022-09-08 08:00:00.0,,2022-09-08 10:06:53.0
12,30E65CFD-7FE9-4956-920E-0AD765F325C3,https://www.nps.gov/kefj/learn/news/bear-glacier-glacial-lake-outburst-flood-9-7-22.htm,Bear Glacier: Glacial Lake Outburst Flood,kefj,"Flood conditions are expected in the lagoon at the terminus of Bear Glacier. Based on photographs from a remote camera and observations by a local flight seeing company, it appears that an ice-dammed lake located 7 mi above the terminus of Bear Glacier began draining around September 6, 2022.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'AK', 'parkCode': 'kefj', 'designation': 'National Park', 'fullName': 'Kenai Fjords National Park', 'url': 'https://www.nps.gov/kefj/index.htm', 'name': 'Kenai Fjords'}]",[],,,,2022-09-07 16:28:00.0,,2022-09-07 20:32:39.0
