park code,Park,Month,Record high temp F,Average high temp F,Daily mean temp F,Average low temp F,Record Low Temp F,Average precipation IN,Average snowfall IN,Average precipation DAYS
ACAD,Acadia National Park,Jan,57,32.5,23.8,15.1,-21,4.48,18.3,12.1
ACAD,Acadia National Park,Feb,61,34.9,26.2,17.5,-18,3.84,13.2,9.8
ACAD,Acadia National Park,Mar,82,41.6,33.3,25,-11,4.94,14.6,12.2
ACAD,Acadia National Park,Apr,85,53.2,44,34.8,8,5.15,4.9,11.6
ACAD,Acadia National Park,May,96,64.5,54.7,44.8,24,4.5,0,13.5
ACAD,Acadia National Park,Jun,95,73.9,63.9,53.8,32,4.28,0,12.1
ACAD,Acadia National Park,Jul,96,79.3,69.7,60.2,36,3.27,0,10.8
ACAD,Acadia National Park,Aug,94,78.3,69,59.7,35,3.45,0,9.3
ACAD,Acadia National Park,Sep,95,70.9,61.9,52.8,31,4.22,0,10.7
ACAD,Acadia National Park,Oct,83,58.5,50.6,42.8,16,5.86,0.2,11.5
ACAD,Acadia National Park,Nov,71,47.8,40.3,32.7,3,5.89,3,11.4
ACAD,Acadia National Park,Dec,63,37.8,30.1,22.4,-13,5.66,11.9,13.7
ACAD,Acadia National Park,Year,96,56.1,47.3,38.5,-21,55.54,66.1,138.7
ARCH,Arches National Park,Jan,63,41.5,31.9,22.3,-4,0.55,2.1,4.2
ARCH,Arches National Park,Feb,74,50,39.6,29.1,-8,0.56,1.2,4.5
ARCH,Arches National Park,Mar,87,62.1,49.5,36.9,13,0.65,0.5,4.9
ARCH,Arches National Park,Apr,93,69.6,56.7,43.7,21,0.71,0,5
ARCH,Arches National Park,May,105,80.1,66.6,53,28,0.75,0,4.8
ARCH,Arches National Park,Jun,110,92.5,77.8,63,37,0.43,0,2.4
ARCH,Arches National Park,Jul,116,98.7,84.5,70.3,50,0.73,0,4.7
ARCH,Arches National Park,Aug,109,95.8,81.9,67.9,44,0.9,0,6
ARCH,Arches National Park,Sep,105,87.1,72.7,58.3,26,0.88,0,4.9
ARCH,Arches National Park,Oct,95,72.1,58.1,44.2,16,1.12,0.1,5.5
ARCH,Arches National Park,Nov,79,55.9,44.3,32.6,10,0.56,0.7,4.1
ARCH,Arches National Park,Dec,69,41.9,32.9,23.9,-4,0.61,3.5,3.8
ARCH,Arches National Park,Year,116,70.6,58,45.4,-8,8.45,8.1,54.8
BADL,Badlands National Park,Jan,71,37.1,25.7,14.2,-28,0.46,5.5,4.4
BADL,Badlands National Park,Feb,75,40.8,28.5,16.2,-31,0.55,6.4,4.8
BADL,Badlands National Park,Mar,85,52.5,39.1,25.8,-23,1.16,5.9,5.6
BADL,Badlands National Park,Apr,94,62.2,48.4,34.7,3,2.26,6.4,8.7
BADL,Badlands National Park,May,102,72.1,58.9,45.7,20,3.62,0.5,9.8
BADL,Badlands National Park,Jun,109,82.7,69.2,55.7,32,3.46,0,10.4
BADL,Badlands National Park,Jul,114,91.2,76.8,62.3,42,2.23,0,8.1
BADL,Badlands National Park,Aug,110,90.5,75.3,60.2,35,1.81,0,6.5
BADL,Badlands National Park,Sep,106,81.8,66.2,50.5,25,1.39,0,5.8
BADL,Badlands National Park,Oct,97,65.4,51.6,37.8,0,1.59,1.9,6.5
BADL,Badlands National Park,Nov,84,50,37.6,25.2,-21,0.53,3.7,4.4
BADL,Badlands National Park,Dec,72,39,27.8,16.6,-31,0.54,7.7,4.8
BADL,Badlands National Park,Year,114,63.8,50.4,37.1,-31,19.6,38,79.8
BIBE,Big Bend National Park,Jan,83,60.8,48.8,36.8,4,0.48,0.1,3.1
BIBE,Big Bend National Park,Feb,91,66.3,53.8,41.4,6,0.44,0.1,3.1
BIBE,Big Bend National Park,Mar,95,74,60.3,46.6,19,0.39,0,1.9
BIBE,Big Bend National Park,Apr,100,81.9,67.8,53.6,29,0.49,0,2.3
BIBE,Big Bend National Park,May,105,89.3,75.9,62.4,38,1.3,0,4.8
BIBE,Big Bend National Park,Jun,109,93.6,81,68.3,48,1.67,0,6.1
BIBE,Big Bend National Park,Jul,108,92,80.7,69.5,51,2.25,0,7.3
BIBE,Big Bend National Park,Aug,105,91.2,80.2,69.1,50,1.93,0,7.1
BIBE,Big Bend National Park,Sep,103,85.9,74.6,63.3,37,1.71,0,5.8
BIBE,Big Bend National Park,Oct,99,79.7,67.3,54.8,24,1.17,0,4.3
BIBE,Big Bend National Park,Nov,89,69,57,44.9,14,0.7,0,3.3
BIBE,Big Bend National Park,Dec,83,61.6,49.7,37.7,4,0.47,0.2,2.6
BIBE,Big Bend National Park,Year,109,78.8,66.4,54,4,13,0.4,51.7
BISC,Biscayne National Park,Jan,83.7,74.1,,61.8,35,1.85,,
BISC,Biscayne National Park,Feb,87.1,75.5,,63.5,38.6,1.91,,
BISC,Biscayne National Park,Mar,88,76.8,,66,43.6,2.62,,
BISC,Biscayne National Park,Apr,92.2,79,,68.7,51.7,2.55,,
BISC,Biscayne National Park,May,91.2,82.1,,73.6,59.5,4.64,,
BISC,Biscayne National Park,Jun,93.9,85.5,,77,65.9,7.83,,
BISC,Biscayne National Park,Jul,95,87.2,,78.6,72.6,5.41,,
BISC,Biscayne National Park,Aug,93.6,87.3,,78.9,72,7.09,,
BISC,Biscayne National Park,Sep,92.3,86.4,,78.3,70.8,7.56,,
BISC,Biscayne National Park,Oct,89.9,83.2,,75,55.9,5.18,,
BISC,Biscayne National Park,Nov,88.7,79.2,,69.8,47.7,2.85,,
BISC,Biscayne National Park,Dec,86.7,75.9,,64.6,32.8,1.79,,
BISC,Biscayne National Park,Year,95,81,,71.4,32.8,51.28,,
BLCA,Black Canyon of the Gunnison National Park,Jan,55,36.8,24.8,12.9,-22,1.73,20.2,9.3
BLCA,Black Canyon of the Gunnison National Park,Feb,60,39.7,27.8,15.9,-24,1.74,22.2,9.6
BLCA,Black Canyon of the Gunnison National Park,Mar,69,48.5,35.7,22.9,-10,1.99,19,8.4
BLCA,Black Canyon of the Gunnison National Park,Apr,80,56.1,42.7,29.3,0,1.84,14.2,8
BLCA,Black Canyon of the Gunnison National Park,May,86,66.4,52.3,38.3,13,1.59,6.6,9.2
BLCA,Black Canyon of the Gunnison National Park,Jun,93,76.3,61.3,46.3,25,0.73,0.4,4.8
BLCA,Black Canyon of the Gunnison National Park,Jul,97,82.1,67.3,52.5,34,1.65,0,12.6
BLCA,Black Canyon of the Gunnison National Park,Aug,93,80.8,66.3,51.9,32,1.69,0,10.5
BLCA,Black Canyon of the Gunnison National Park,Sep,90,72.4,58.4,44.3,16,2.08,1,9.3
BLCA,Black Canyon of the Gunnison National Park,Oct,80,59.9,46.3,32.8,-3,1.9,4.8,8.1
BLCA,Black Canyon of the Gunnison National Park,Nov,68,46.8,34.9,23.1,-16,1.49,12,6.3
BLCA,Black Canyon of the Gunnison National Park,Dec,56,35.7,24.4,13.1,-13,1.52,20.3,9.7
BLCA,Black Canyon of the Gunnison National Park,Year,97,58.5,45.2,31.9,-24,19.95,120.7,105.8
BRCA,Bryce Canyon National Park,Jan,59,36.9,26.9,17,-26,1.91,19.8,6.3
BRCA,Bryce Canyon National Park,Feb,64,38.8,28.6,18.4,-26,1.7,18.1,7.6
BRCA,Bryce Canyon National Park,Mar,67,45.8,34.5,23.3,-11,1.27,13.2,6.2
BRCA,Bryce Canyon National Park,Apr,75,53.5,41.2,28.9,-3,0.77,5.9,5.7
BRCA,Bryce Canyon National Park,May,85,63.1,49.9,36.6,13,0.91,1.5,5.5
BRCA,Bryce Canyon National Park,Jun,95,75.1,59.8,44.6,21,0.47,0.2,3.2
BRCA,Bryce Canyon National Park,Jul,98,80,66,52.1,28,1.55,0,8.8
BRCA,Bryce Canyon National Park,Aug,90,77.5,63.7,50,23,1.94,0,10.2
BRCA,Bryce Canyon National Park,Sep,89,70.1,55.9,41.6,16,1.78,0,7
BRCA,Bryce Canyon National Park,Oct,79,58.2,45,31.9,0,1.73,3,5.3
BRCA,Bryce Canyon National Park,Nov,68,45.8,34.3,22.8,-12,1.28,9.7,4.7
BRCA,Bryce Canyon National Park,Dec,60,36.8,26.9,17,-23,1.34,15.3,6.2
BRCA,Bryce Canyon National Park,Year,98,56.8,44.4,32,-26,16.65,86.7,76.7
CANY,Canyonlands National Park,Jan,58,36.8,29.6,22.3,-7,0.55,6.1,4.4
CANY,Canyonlands National Park,Feb,67,43.2,35.2,27.3,-13,0.58,3.5,4.5
CANY,Canyonlands National Park,Mar,78,54.2,44.5,34.9,0,0.75,3,4.6
CANY,Canyonlands National Park,Apr,84,62,51.1,40.1,14,0.68,0.3,5.2
CANY,Canyonlands National Park,May,97,72.4,61.3,50.2,22,0.87,0.1,5.4
CANY,Canyonlands National Park,Jun,102,84.6,73.1,61.7,26,0.36,0,2.4
CANY,Canyonlands National Park,Jul,105,90.8,79.3,67.9,41,0.91,0,5.9
CANY,Canyonlands National Park,Aug,101,87.8,76.8,65.7,41,1.16,0,6.4
CANY,Canyonlands National Park,Sep,98,79,68,57,25,1,0,6.2
CANY,Canyonlands National Park,Oct,89,64.6,54.3,43.9,9,1.22,0.1,5.7
CANY,Canyonlands National Park,Nov,72,49.1,40.8,32.6,6,0.55,3.2,4.3
CANY,Canyonlands National Park,Dec,62,36.9,29.7,22.6,-10,0.7,6.5,4.4
CANY,Canyonlands National Park,Year,105,63.4,53.6,43.8,-13,9.33,22.8,59.4
CARE,Capitol Reef National Park,Jan,69,40.6,30.5,20.5,-9,0.56,3.8,3.3
CARE,Capitol Reef National Park,Feb,72,46.8,36.2,25.7,-7,0.5,1.5,3.7
CARE,Capitol Reef National Park,Mar,80,57.3,45.4,33.6,10,0.46,1.7,3.6
CARE,Capitol Reef National Park,Apr,91,64.7,51.9,39.2,18,0.52,0.2,4.5
CARE,Capitol Reef National Park,May,97,74.3,61.3,48.3,28,0.65,0,4.9
CARE,Capitol Reef National Park,Jun,104,86.4,72.3,58.2,35,0.35,0,3.3
CARE,Capitol Reef National Park,Jul,104,91.2,78.2,65.2,44,1.03,0,7.7
CARE,Capitol Reef National Park,Aug,102,87.8,75.3,62.8,42,1.12,0,8.1
CARE,Capitol Reef National Park,Sep,99,79.7,67.2,54.7,30,0.95,0,5.3
CARE,Capitol Reef National Park,Oct,91,65.9,54.5,43.1,12,0.87,0,4.5
CARE,Capitol Reef National Park,Nov,77,51,40.7,30.4,5,0.5,1.5,2.7
CARE,Capitol Reef National Park,Dec,69,40.2,30.4,20.6,-8,0.37,2.2,2.9
