ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,1,"6,320",0,"6,320",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,2,"5,192",0,"5,192",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,3,"15,362",0,"15,362",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,4,"22,592",0,"22,592",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,5,"28,225",0,"28,225",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,6,"31,901",0,"31,901",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,7,"36,998",0,"36,998",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,8,"32,611",0,"32,611",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,9,"29,469",0,"29,469",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,10,"18,016",0,"18,016",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,11,"13,756",0,"13,756",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,12,"10,746",0,"10,746",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2021,"251,188",0,"251,188",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,1,"20,268",600,"133,769",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,2,"16,123",600,"106,413",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2021,3,"38,060",600,"251,199",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2021,"4,069,098","47,100","26,042,074","47,100",0,"1,607","107,758","40,672","1,612",0,0
